anime_id,anime_name,genres,type,number_of_episodes,rating,total_views,production_cost,total_box_office
16894,Kuroko no Basket 2nd SEASON,"Comedy, Sports",TV,25,80,141419,200000,30.0
129201,Summer Time Render,"Action, Drama, Mystery, Supernatural, Thriller",TV,25,83,141306,150000,44.0
114963,Nakitai Watashi wa Neko wo Kaburu,"Drama, Fantasy, Romance",MOVIE,1,72,140829,250000,38.0
17074,Monogatari Series: Second Season,"Comedy, Drama, Mystery, Psychological, Romance, Supernatural",TV,26,88,140177,300000,7.0
934,Higurashi no Naku Koro ni,"Horror, Mystery, Psychological, Supernatural, Thriller",TV,26,75,140110,300000,13.0
109963,Shokugeki no Souma: Shin no Sara,"Comedy, Ecchi",TV,12,76,140109,250000,35.0
2236,Toki wo Kakeru Shoujo,"Drama, Romance, Sci-Fi",MOVIE,1,78,139993,250000,29.0
21058,Akagami no Shirayuki-hime,"Drama, Fantasy, Romance",TV,12,76,139663,300000,9.0
14467,K,"Action, Mystery, Supernatural",TV,13,70,139327,100000,42.0
100773,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,"Comedy, Ecchi",TV,12,77,139310,200000,50.0
20657,Saenai Heroine no Sodatekata,"Comedy, Romance, Slice of Life",TV,13,73,138732,250000,19.0
97922,Inuyashiki,"Action, Drama, Psychological, Sci-Fi",TV,11,73,138626,150000,37.0
20987,Himouto! Umaru-chan,"Comedy, Slice of Life",TV,12,67,138425,200000,29.0
20745,High School DxD BorN,"Action, Comedy, Ecchi, Fantasy, Romance",TV,12,70,137794,150000,23.0
97766,Gamers!,"Comedy, Drama, Romance, Slice of Life",TV,12,65,137754,200000,15.0
2025,DARKER THAN BLACK: Kuro no Keiyakusha,"Action, Mystery, Sci-Fi",TV,25,77,137385,200000,53.0
108553,Boku no Hero Academia THE MOVIE: Heroes:Rising,"Action, Sci-Fi",MOVIE,1,78,137163,150000,27.0
2890,Gake no Ue no Ponyo,"Adventure, Fantasy",MOVIE,1,79,137156,250000,16.0
512,Majo no Takkyuubin,"Adventure, Drama, Fantasy, Slice of Life",MOVIE,1,81,137051,250000,37.0
114888,Fugou Keiji: Balance:UNLIMITED,"Action, Comedy, Mystery, Sci-Fi",TV,11,74,135763,150000,32.0
21385,Nanatsu no Taizai: Seisen no Shirushi,"Action, Adventure, Comedy, Ecchi, Fantasy, Supernatural",TV,4,67,135651,200000,13.0
99468,Karakai Jouzu no Takagi-san,"Comedy, Romance, Slice of Life",TV,12,74,135375,250000,17.0
777,HELLSING OVA,"Action, Horror, Supernatural",OVA,10,81,135150,300000,15.0
105190,Darwins Game,"Action, Mystery, Sci-Fi, Thriller",TV,11,70,134772,200000,29.0
18115,Magi: The kingdom of magic,"Action, Adventure, Fantasy",TV,25,80,134729,200000,11.0
249,Inuyasha,"Action, Adventure, Comedy, Fantasy, Romance",TV,167,76,134623,300000,18.0
21428,Hai to Gensou no Grimgar,"Action, Adventure, Drama, Fantasy",TV,12,74,134401,300000,31.0
128546,Vivy: Fluorite Eye’s Song,"Action, Drama, Music, Sci-Fi, Thriller",TV,13,82,134316,250000,19.0
7791,K-ON!!,"Comedy, Music, Slice of Life",TV,26,82,133753,150000,16.0
99426,Sora yori mo Tooi Basho,"Adventure, Comedy, Drama",TV,13,84,133630,150000,52.0
158927,SPY×FAMILY Season 2,"Action, Comedy, Slice of Life, Supernatural",TV,12,81,133293,250000,21.0
20876,Nisekoi:,"Comedy, Romance, Slice of Life",TV,12,71,133174,250000,48.0
124194,Fruits Basket: The Final,"Comedy, Drama, Psychological, Romance, Slice of Life, Supernatural",TV,13,90,132559,250000,14.0
98444,Yuru Camp△,"Comedy, Slice of Life",TV,12,81,132475,250000,21.0
21858,Little Witch Academia (TV),"Comedy, Fantasy",TV,25,77,132473,100000,49.0
131942,JoJo no Kimyou na Bouken: Stone Ocean,"Action, Adventure, Drama, Supernatural",ONA,12,81,131940,250000,15.0
21093,Monster Musume no Iru Nichijou,"Comedy, Ecchi, Fantasy, Romance",TV,12,66,131699,100000,31.0
106479,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,"Action, Adventure, Comedy, Fantasy, Slice of Life",TV,12,74,131570,300000,45.0
14345,BTOOOM!,"Action, Psychological, Sci-Fi",TV,12,68,131560,250000,16.0
100183,Sword Art Online Alternative: Gun Gale Online,"Action, Sci-Fi",TV,12,69,131538,250000,39.0
10719,Boku wa Tomodachi ga Sukunai,"Comedy, Ecchi, Romance, Slice of Life",TV,12,68,131524,150000,47.0
100112,Kenja no Mago,"Action, Comedy, Fantasy, Romance",TV,12,64,131156,250000,26.0
155783,Tengoku Daimakyou,"Adventure, Mystery, Sci-Fi, Thriller",TV,13,82,131102,100000,51.0
107717,Kobayashi-san Chi no Maidragon S,"Comedy, Fantasy, Slice of Life",TV,12,82,130993,100000,47.0
129898,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru","Action, Adventure, Drama, Fantasy, Mystery, Romance",TV,12,72,130829,150000,15.0
20602,Amagi Brilliant Park,"Comedy, Fantasy",TV,13,72,130620,100000,14.0
105228,Dorohedoro,"Action, Adventure, Comedy, Fantasy, Horror, Mystery",TV,12,79,130591,150000,39.0
9260,Kizumonogatari I: Tekketsu-hen,"Action, Drama, Ecchi, Mystery, Psychological, Supernatural",MOVIE,1,83,130301,150000,28.0
131518,Dr. STONE: NEW WORLD,"Action, Adventure, Comedy, Sci-Fi",TV,11,81,128636,250000,59.0
131565,takt op.Destiny,"Action, Fantasy, Music",TV,12,69,128514,150000,20.0
245,GTO,"Comedy, Drama, Slice of Life",TV,43,84,127559,250000,32.0
6,TRIGUN,"Action, Adventure, Comedy, Drama, Sci-Fi",TV,26,79,125922,100000,49.0
20725,Kuroko no Basket 3rd SEASON,"Comedy, Sports",TV,25,81,125402,250000,13.0
43,GHOST IN THE SHELL: Koukaku Kidoutai,"Action, Psychological, Sci-Fi",MOVIE,1,80,125285,250000,33.0
116566,Akudama Drive,"Action, Drama, Sci-Fi, Thriller",TV,12,75,124969,250000,28.0
103871,Zombie Land Saga,"Comedy, Music, Supernatural",TV,12,74,124914,200000,51.0
116674,BLEACH: Sennen Kessen-hen,"Action, Adventure, Supernatural",TV,13,88,124738,100000,22.0
14289,Sukitte Ii na yo.,"Drama, Romance",TV,13,71,123816,250000,12.0
6213,Toaru Kagaku no Railgun,"Action, Fantasy, Sci-Fi",TV,24,74,123595,300000,24.0
15689,Nekomonogatari (Kuro),"Drama, Mystery, Psychological, Romance, Supernatural",TV,4,77,123390,150000,42.0
98202,Tsuki ga Kirei,"Drama, Romance, Slice of Life",TV,12,78,123167,150000,37.0
98707,Houseki no Kuni,"Action, Drama, Fantasy, Mystery, Psychological",TV,12,83,123125,200000,40.0
20722,Barakamon,Slice of Life,TV,12,82,122545,150000,16.0
392,Yuu☆Yuu☆Hakusho,"Action, Adventure, Comedy, Supernatural",TV,112,82,122518,250000,57.0
14713,Kamisama Hajimemashita,"Comedy, Fantasy, Romance, Supernatural",TV,13,80,122339,100000,54.0
20678,Shinmai Maou no Testament,"Action, Ecchi, Fantasy, Romance",TV,12,62,122280,250000,23.0
131083,Mieruko-chan,"Comedy, Horror, Slice of Life, Supernatural",TV,12,72,121961,250000,56.0
131586,86: Eighty Six Part 2,"Action, Drama, Mecha, Sci-Fi",TV,12,86,121908,250000,23.0
20946,Ore Monogatari!!,"Comedy, Romance",TV,24,77,121710,200000,21.0
